file_name,chars_total,lines_total,header_end_line,header_marker,backmatter_start_line,backmatter_marker,chars_header,chars_body,chars_backmatter,boilerplate_lines,reference_link_lines,short_lines,has_publisher_footer,doi,journal,admin_sections,content_sections,pct_header,pct_body,pct_backmatter
Mice in BionM 1 space mission training and selecti.txt,73729,1127,156.0,^Abstract$,803.0,^acknowledge?ments?$,4102,60143,9485,77,215,334,True,10.1371/journal.pone.0104830,PLoS One,Acknowledgments|References|Funding|Competing interests,Abstract|Introduction|Methods|Conclusion,5.56,81.57,12.86
Microgravity induces pelvic bone loss through oste.txt,85192,1792,112.0,^Abstract$,1032.0,^references$,3363,65952,15878,117,538,612,True,10.1371/journal.pone.0061372,PLoS One,References|Funding|Competing interests,Abstract|Introduction|Methods|Results|Discussion|Conclusion,3.95,77.42,18.64
Stem Cell Health and Tissue Regeneration in Microg.txt,89177,1713,95.0,^Abstract$,1002.0,^references$,2581,65289,21308,133,600,1098,True,10.3390/ijms26073058,Int J Mol Sci,References|Funding|Author contributions|Data availability|Footnotes,Abstract,2.89,73.21,23.89
Microgravity Reduces the Differentiation and Regen.txt,58039,1080,92.0,^Abstract$,608.0,^references$,3952,39659,14429,91,366,503,True,10.3390/cells10030560,Cells,References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,6.81,68.33,24.86
Microgravity validation of a novel system for RNA .txt,77555,1594,458.0,^Abstract$,1177.0,^acknowledge?ments?$,13412,51657,12487,90,218,609,True,10.1371/journal.pone.0183480,PLoS One,Acknowledgments|References|Funding|Competing interests|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,17.29,66.61,16.1
Spaceflight Modulates the Expression of Key Oxidat.txt,70188,1721,73.0,^Abstract$,906.0,^acknowledge?ments?$,2027,42648,25514,141,624,826,True,10.3390/ijms22169088,Int J Mol Sci,Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,2.89,60.76,36.35
Dose and IonDependent Effects in the Oxidative Str.txt,67739,1488,99.0,^Abstract$,952.0,^acknowledge?ments?$,4965,44533,18242,100,414,674,True,10.3390/ijms18102117,Int J Mol Sci,Acknowledgments|References|Competing interests|Author contributions,Abstract,7.33,65.74,26.93
From the bench to exploration medicine NASA life s.txt,55238,1131,81.0,^Abstract$,468.0,^acknowledge?ments?$,2260,33988,18991,89,358,521,True,10.1038/s41526-016-0002-8,NPJ Microgravity,Acknowledgments|References|Competing interests|Author contributions,Abstract|Introduction,4.09,61.53,34.38
Highprecision method for cyclic loading of smallan.txt,46286,1019,84.0,^Abstract$,537.0,^acknowledge?ments?$,2240,30290,13757,65,256,410,True,10.1016/j.bonr.2018.10.002,Bone Rep,Acknowledgments|References|Supplementary,Abstract,4.84,65.44,29.72
Effects of ex vivo ionizing radiation on collagen .txt,57142,1349,110.0,^Abstract$,570.0,^acknowledge?ments?$,2901,32052,22190,114,523,638,False,10.1016/j.bone.2019.115043,Bone,Acknowledgments|Competing interests|Footnotes,Abstract,5.08,56.09,38.83
Absence of gammasarcoglycan alters the response of.txt,68628,1303,97.0,^Abstract$,706.0,^acknowledge?ments?$,3232,46133,19264,118,522,665,True,10.1186/2044-5040-4-13,Skelet Muscle,Acknowledgments|References|Competing interests|Contributor Information,Abstract|Methods|Results|Discussion|Conclusion,4.71,67.22,28.07
AtRabD2b and AtRabD2c have overlapping functions i.txt,58273,1338,55.0,^Abstract$,943.0,^acknowledge?ments?$,1540,44512,12222,91,331,456,True,10.1186/1471-2229-11-25,BMC Plant Biol,Acknowledgments|References|Supplementary|Contributor Information,Abstract|Methods|Results|Discussion|Conclusion,2.64,76.39,20.97
TNO1 is involved in salt tolerance and vacuolar tr.txt,73654,1931,58.0,^Abstract$,1163.0,^acknowledge?ments?$,1946,51849,19860,143,630,671,True,10.1104/pp.110.168963,Plant Physiol,Acknowledgments|References|Supplementary,Abstract|Methods|Results|Discussion,2.64,70.4,26.96
