file_name,status,chars_before,chars_after,pct_removed,removed_header,removed_backmatter,removed_sections,removed_boilerplate,sections_removed,doi,journal,internal_title,title_similarity,title_mismatch,note
Mice in BionM 1 space mission training and selecti.txt,cleaned,73729,59891,18.77,3728,8157,0,1954,,10.1371/journal.pone.0104830,PLoS One,Mice in Bion-M 1 Space Mission: Training and Selection,1.0,False,
Microgravity induces pelvic bone loss through oste.txt,cleaned,85192,65601,23.0,3057,12706,189,3640,Funding,10.1371/journal.pone.0061372,PLoS One,"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",1.0,False,
Stem Cell Health and Tissue Regeneration in Microg.txt,excluded_title_mismatch,89177,0,100.0,2309,17730,1525,4020,Author contributions|Data availability|Funding|Footnotes,10.3390/ijms26073058,Int J Mol Sci,Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,0.164,True,"título divergente (sim=0.16): metadata diz 'Stem Cell Health and Tissue Regeneration', documento é 'Microgravity and Cellular Biology: Insig'"
Microgravity Reduces the Differentiation and Regen.txt,excluded_title_mismatch,58039,0,100.0,3680,12214,1530,2685,Supplementary|Author contributions|Funding|Data availability|Footnotes,10.3390/cells10030560,Cells,Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,0.167,True,"título divergente (sim=0.17): metadata diz 'Microgravity Reduces the Differentiation', documento é 'Selective Proliferation of Highly Functi'"
Microgravity validation of a novel system for RNA .txt,cleaned,77555,51511,33.58,12766,11077,0,2202,,10.1371/journal.pone.0183480,PLoS One,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,1.0,False,
Spaceflight Modulates the Expression of Key Oxidat.txt,cleaned,70188,42558,39.37,1806,21543,0,4282,,10.3390/ijms22169088,Int J Mol Sci,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,1.0,False,
Dose and IonDependent Effects in the Oxidative Str.txt,cleaned,67739,44351,34.53,4676,15729,0,2984,,10.3390/ijms18102117,Int J Mol Sci,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,1.0,False,
From the bench to exploration medicine NASA life s.txt,cleaned,55238,33916,38.6,2005,16718,0,2600,,10.1038/s41526-016-0002-8,NPJ Microgravity,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,1.0,False,
Highprecision method for cyclic loading of smallan.txt,cleaned,46286,30137,34.89,1985,12189,45,1931,Supplementary,10.1016/j.bonr.2018.10.002,Bone Rep,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,1.0,False,
Effects of ex vivo ionizing radiation on collagen .txt,cleaned,57142,31980,44.03,2629,19076,0,3458,,10.1016/j.bone.2019.115043,Bone,Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,1.0,False,
Absence of gammasarcoglycan alters the response of.txt,cleaned,68628,44852,34.64,2977,16059,1167,3574,Competing interests|Contributor Information,10.1186/2044-5040-4-13,Skelet Muscle,Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,0.944,False,
AtRabD2b and AtRabD2c have overlapping functions i.txt,cleaned,58273,43210,25.85,1319,10110,1024,2611,Supplementary|Contributor Information,10.1186/1471-2229-11-25,BMC Plant Biol,5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,0.989,False,
TNO1 is involved in salt tolerance and vacuolar tr.txt,cleaned,73654,51602,29.94,1759,15912,81,4301,Supplementary,10.1104/pp.110.168963,Plant Physiol,TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis,1.0,False,
