title,source_url,local_path,extraction_method,doi,journal,clean_path,cleaning_status,title_similarity
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,data\processed_text\Mice in BionM 1 space mission training and selecti.txt,HTML_EXTRACTION,10.1371/journal.pone.0104830,PLoS One,data/clean_text/Mice in BionM 1 space mission training and selecti.txt,cleaned,1.0
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,data\processed_text\Microgravity induces pelvic bone loss through oste.txt,HTML_EXTRACTION,10.1371/journal.pone.0061372,PLoS One,data/clean_text/Microgravity induces pelvic bone loss through oste.txt,cleaned,1.0
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,data\processed_text\Microgravity validation of a novel system for RNA .txt,HTML_EXTRACTION,10.1371/journal.pone.0183480,PLoS One,data/clean_text/Microgravity validation of a novel system for RNA .txt,cleaned,1.0
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,data\processed_text\Spaceflight Modulates the Expression of Key Oxidat.txt,HTML_EXTRACTION,10.3390/ijms22169088,Int J Mol Sci,data/clean_text/Spaceflight Modulates the Expression of Key Oxidat.txt,cleaned,1.0
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,data\processed_text\Dose and IonDependent Effects in the Oxidative Str.txt,HTML_EXTRACTION,10.3390/ijms18102117,Int J Mol Sci,data/clean_text/Dose and IonDependent Effects in the Oxidative Str.txt,cleaned,1.0
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,data\processed_text\From the bench to exploration medicine NASA life s.txt,HTML_EXTRACTION,10.1038/s41526-016-0002-8,NPJ Microgravity,data/clean_text/From the bench to exploration medicine NASA life s.txt,cleaned,1.0
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,data\processed_text\Highprecision method for cyclic loading of smallan.txt,HTML_EXTRACTION,10.1016/j.bonr.2018.10.002,Bone Rep,data/clean_text/Highprecision method for cyclic loading of smallan.txt,cleaned,1.0
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,data\processed_text\Effects of ex vivo ionizing radiation on collagen .txt,HTML_EXTRACTION,10.1016/j.bone.2019.115043,Bone,data/clean_text/Effects of ex vivo ionizing radiation on collagen .txt,cleaned,1.0
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,data\processed_text\Absence of gammasarcoglycan alters the response of.txt,HTML_EXTRACTION,10.1186/2044-5040-4-13,Skelet Muscle,data/clean_text/Absence of gammasarcoglycan alters the response of.txt,cleaned,0.944
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,data\processed_text\AtRabD2b and AtRabD2c have overlapping functions i.txt,HTML_EXTRACTION,10.1186/1471-2229-11-25,BMC Plant Biol,data/clean_text/AtRabD2b and AtRabD2c have overlapping functions i.txt,cleaned,0.989
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,data\processed_text\TNO1 is involved in salt tolerance and vacuolar tr.txt,HTML_EXTRACTION,10.1104/pp.110.168963,Plant Physiol,data/clean_text/TNO1 is involved in salt tolerance and vacuolar tr.txt,cleaned,1.0
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,data\processed_text\Gravitropism and lateral root emergence are depend.txt,HTML_EXTRACTION,10.3389/fpls.2015.00969,Front Plant Sci,data/clean_text/Gravitropism and lateral root emergence are depend.txt,cleaned,0.989
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,data\processed_text\TNO1 a TGNlocalized SNAREinteracting protein modul.txt,HTML_EXTRACTION,10.1186/s12870-017-1024-4,BMC Plant Biol,data/clean_text/TNO1 a TGNlocalized SNAREinteracting protein modul.txt,cleaned,1.0
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,data\processed_text\The Drosophila SUN protein Spag4 cooperates with t.txt,HTML_EXTRACTION,10.1242/jcs.066589,J Cell Sci,data/clean_text/The Drosophila SUN protein Spag4 cooperates with t.txt,cleaned,1.0
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,data\processed_text\Toll mediated infection response is altered by gra.txt,HTML_EXTRACTION,10.1371/journal.pone.0086485,PLoS One,data/clean_text/Toll mediated infection response is altered by gra.txt,cleaned,1.0
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,data\processed_text\GeneLab database analyses suggest longterm impact .txt,HTML_EXTRACTION,10.3390/ijms20030661,Int J Mol Sci,data/clean_text/GeneLab database analyses suggest longterm impact .txt,cleaned,1.0
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,data\processed_text\FAIRness and usability for openaccess omics data s.txt,HTML_EXTRACTION,,AMIA Annu Symp Proc,data/clean_text/FAIRness and usability for openaccess omics data s.txt,cleaned,1.0
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,data\processed_text\NASA GeneLab platform utilized for biological resp.txt,HTML_EXTRACTION,10.3390/cancers12020381,Cancers (Basel),data/clean_text/NASA GeneLab platform utilized for biological resp.txt,cleaned,1.0
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,data\processed_text\Circulating miRNA spaceflight signature reveals ta.txt,HTML_EXTRACTION,10.1016/j.celrep.2020.108448,Cell Rep,data/clean_text/Circulating miRNA spaceflight signature reveals ta.txt,cleaned,1.0
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,data\processed_text\Machine learning algorithm to characterize antimic.txt,HTML_EXTRACTION,10.1186/s40168-022-01332-w,Microbiome,data/clean_text/Machine learning algorithm to characterize antimic.txt,cleaned,1.0
